symbol,category
XCNUSDT,DeFi
XEMUSDT,Layer 1 Blockchains
XLMUSDT,Layer 1 Blockchains
XMRUSDT,Privacy Coins
XNYUSDT,Data & Analytics
XPLUSDT,Social & Content
XRPUSDT,Layer 1 Blockchains
XTZUSDT,Layer 1 Blockchains
XVGUSDT,Privacy Coins
XVSUSDT,DeFi
YALAUSDT,DeFi
YFIIUSDT,DeFi
YFIUSDT,DeFi
YGGUSDT,Gaming/Metaverse
ZECUSDT,Privacy Coins
ZENUSDT,Privacy Coins
ZEREBROUSDT,AI/Compute
ZETAUSDT,Interoperability
ZILUSDT,Layer 1 Blockchains
ZKJUSDT,Interoperability
ZKUSDT,Layer 2 Solutions
ZORAUSDT,NFTs
ZRCUSDT,Layer 2 Solutions
ZROUSDT,Interoperability
ZRXUSDT,DeFi
